loc;unit size
|java+compilationUnit:///src/smallsql/junit/TestDBMetaData.java|(7766,1675,<174,1>,<201,2>);24
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(24783,1435,<709,1>,<745,2>);24
|java+compilationUnit:///src/smallsql/database/CommandUpdate.java|(2560,978,<85,1>,<113,2>);24
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionRound.java|(1590,488,<45,4>,<68,5>);24
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionReplace.java|(1724,800,<54,1>,<77,2>);24
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(12454,1138,<460,4>,<486,5>);24
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(38524,1051,<1093,4>,<1118,5>);24
|java+compilationUnit:///src/smallsql/database/ExpressionArithmetic.java|(28574,505,<735,4>,<758,5>);24
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionReplace.java|(2533,760,<80,1>,<103,2>);24
|java+compilationUnit:///src/smallsql/junit/TestGroupBy.java|(2746,937,<91,1>,<123,2>);23
|java+compilationUnit:///src/smallsql/junit/TestJoins.java|(6219,902,<128,4>,<156,5>);23
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(9955,436,<359,1>,<381,2>);23
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(20060,882,<760,1>,<785,2>);23
|java+compilationUnit:///src/smallsql/junit/TestMoneyRounding.java|(2540,858,<76,4>,<98,5>);23
|java+compilationUnit:///src/smallsql/database/StorePageMap.java|(4162,792,<158,1>,<185,2>);23
|java+compilationUnit:///src/smallsql/junit/TestStatement.java|(1804,819,<58,4>,<81,5>);23
|java+compilationUnit:///src/smallsql/junit/TestExceptionMethods.java|(8853,759,<253,4>,<275,5>);23
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(20851,921,<623,1>,<645,2>);23
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(19244,808,<729,1>,<757,2>);23
|java+compilationUnit:///src/smallsql/database/GroupResult.java|(1908,1086,<50,1>,<77,2>);23
|java+compilationUnit:///src/smallsql/junit/TestOther.java|(8348,1733,<219,4>,<249,5>);23
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(18440,796,<698,1>,<726,2>);23
|java+compilationUnit:///src/smallsql/database/MemoryResult.java|(1829,994,<57,1>,<82,2>);23
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(12649,1193,<339,1>,<371,2>);23
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(73406,729,<1901,4>,<1923,5>);22
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(3892,676,<115,1>,<140,2>);22
|java+compilationUnit:///src/smallsql/database/language/Language.java|(10283,1112,<232,1>,<268,2>);22
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(5916,667,<198,1>,<223,2>);22
|java+compilationUnit:///src/smallsql/junit/TestOrderBy.java|(11940,681,<440,1>,<464,2>);22
|java+compilationUnit:///src/smallsql/junit/TestScrollable.java|(12009,892,<289,4>,<317,5>);22
